Layer Sensor Side ZSC Hits
3 1 u 3 7.5e-03
3 1 u 2 9.0e-02
3 1 u 1 6.5e-01
3 1 v 3 7.0e-03
3 1 v 2 1.0e-01
3 1 v 1 6.0e-01
4 1 u 3 7.0e-03
4 1 u 2 1.05e-01
4 1 u 1 6.0e-01
4 1 v 3 1.05e-02
4 1 v 2 1.05e-01
4 1 v 1 7.0e-01
4 2 u 3 7.0e-03
4 2 u 2 1.0e-01
4 2 u 1 7.0e-01
4 2 v 3 7.0e-03
4 2 v 2 1.0e-01
4 2 v 1 7.0e-01
4 3 u 3 7.0e-03
4 3 u 2 1.0e-01
4 3 u 1 6.0e-01
4 3 v 3 7.0e-03
4 3 v 2 1.0e-01
4 3 v 1 7.0e-01
5 1 u 3 7.0e-03
5 1 u 2 1.0e-01
5 1 u 1 6.0e-01
5 1 v 3 1.0e-02
5 1 v 2 1.05e-01
5 1 v 1 7.0e-01
5 2 u 3 7.0e-03
5 2 u 2 1.0e-01
5 2 u 1 6.0e-01
5 2 v 3 7.0e-03
5 2 v 2 1.05e-01
5 2 v 1 7.0e-01
5 3 u 3 8.0e-03
5 3 u 2 1.05e-01
5 3 u 1 6.0e-01
5 3 v 3 8.0e-03
5 3 v 2 1.05e-01
5 3 v 1 7.0e-01
5 4 u 3 8.0e-03
5 4 u 2 1.0e-01
5 4 u 1 6.5e-01
5 4 v 3 6.0e-03
5 4 v 2 1.0e-01
5 4 v 1 6.0e-01
5 1 u 3 7.5e-03
6 1 u 2 1.0e-01
6 1 u 1 7.0e-01
6 1 v 3 1.05e-02
6 1 v 2 1.05e-01
6 1 v 1 7.0e-01
6 2 u 3 7.0e-03
6 2 u 2 1.0e-01
6 2 u 1 7.0e-01
6 2 v 3 7.0e-03
6 2 v 2 1.0e-01
6 2 v 1 7.0e-01
6 3 u 3 8.0e-03
6 3 u 2 1.05e-01
6 3 u 1 6.0e-01
6 3 v 3 6.0e-03
6 3 v 2 1.0e-01
6 3 v 1 7.5e-01
6 4 u 3 6.0e-03
6 4 u 2 1.05e-01
6 4 u 1 6.5e-01
6 4 v 3 7.0e-03
6 4 v 2 1.0e-01
6 4 v 1 7.5e-01
6 5 u 3 6.0e-03
6 5 u 2 1.0e-01
6 5 u 1 6.5e-01
6 5 v 3 7.0e-03
6 5 v 2 1.0e-01
6 5 v 1 6.5e-01
